"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"232","BWA",2005,"SSA",1.47037946941014,457.35639055704,26.4965277687155,65.9908048777971,27.0507762143697,23.3346795931521,42.1095170985943,51.5928110862777,23.3036354754326,30.2965229161499,27.2951933583932
"233","BWA",2006,"SSA",1.57827630662026,428.263261162992,29.5150004830879,65.1474052649031,35.4947140098181,26.9202563698013,45.6518672083883,44.1744394395331,21.2981901827568,35.1986449360411,27.8530705967014
"234","BWA",2007,"SSA",1.70476331467427,372.465198432549,30.3690312462055,60.6225908907144,43.3018506362246,27.0536639128781,46.0924143438924,44.2317009025182,21.6349145498098,38.7242264261094,27.8165675755777
"235","BWA",2008,"SSA",1.65202452675734,357.374915719829,30.8058017562137,62.8989487660582,51.3221402683772,26.9020883641068,46.8968597826798,43.8196812736346,21.8485682856806,43.4703765026243,27.2911440722482
"236","BWA",2009,"SSA",1.64301792053881,196.009122825374,30.1053599067359,55.6991976862534,60.0083046705767,26.1131619454035,45.9942071765869,42.4602834592847,21.6407328666894,45.7700120160269,23.3770027049266
"237","BWA",2010,"SSA",1.73675127407673,223.592073900914,29.2492948103827,50.4274398735607,68.6867873833336,24.9630773947731,44.6219278881171,38.9976409234958,20.8141161248028,48.9442798772795,23.4436972585837
"279","CHL",1990,"LAM",9.51175843498963,168.743979681701,37.5403763798637,137.177227069176,34.5229781314151,20.428345763547,33.4353101871289,115.833610979376,NA,31.4921767274526,35.8720208270991
"280","CHL",1991,"LAM",8.44945924586819,170.564821134041,33.1628416365376,137.856113151465,27.9695275725919,18.1479122053396,30.7983367748408,100.599617935625,NA,27.3198821111678,32.3715478842413
"281","CHL",1992,"LAM",8.92643056230547,171.373413648423,32.3228517069927,155.392280302151,27.2688610709133,17.6532131299767,31.2355508042543,95.9893752038964,NA,25.1561201414986,31.2291684163776
"282","CHL",1993,"LAM",9.15147232540594,173.545603733676,31.9277095834037,136.626598381131,27.1709848663516,16.491928429179,29.6673008180841,82.9635623768637,NA,24.433060487251,30.1705052628689
"283","CHL",1994,"LAM",9.39214173088327,168.171058850257,30.9084105951355,113.825040609352,25.8531498756585,15.2299114295016,27.5348348262792,69.6751968246416,NA,22.7039432293676,28.6203452849591
"284","CHL",1995,"LAM",9.84786896018115,168.511149559697,30.7380995855879,114.398495896761,25.0269627109803,15.6470432454527,27.8705897428008,65.1287797379596,NA,20.607264095934,28.1179407525313
"285","CHL",1996,"LAM",10.1205255629787,190.02135165348,31.4606220483252,90.6359164449324,25.750026935012,16.8767031907373,30.4913912268355,62.0794976064086,NA,20.5566908218708,29.1534930171217
"286","CHL",1997,"LAM",11.1796672435754,210.57679431183,32.1729455028223,101.357491427794,23.8978387941101,17.0601126778214,31.5621839675893,61.3941857392568,NA,20.806995984951,29.9476148131335
"287","CHL",1998,"LAM",11.6558331703118,248.448486273512,32.4793859203184,113.814618289362,22.8595839160393,16.9727755865061,32.182864130853,59.5643476679378,NA,21.0673718040095,30.4014416785472
"288","CHL",1999,"LAM",12.0041136305343,316.638216112626,35.7273315818271,110.375351775615,25.246990835689,15.487601608647,33.2601918416437,55.5326989965501,NA,20.1231230621793,30.7380554211865
"289","CHL",2000,"LAM",12.9298136934729,331.980610810448,36.9152509838938,124.962313740439,23.5078448985355,15.4888963806884,33.8818661838373,53.3564259969801,NA,19.4458123939774,30.6337848105486
"290","CHL",2001,"LAM",11.6620007250768,358.262185632874,37.5995529037053,128.398835563869,22.7490632180327,15.4645434416616,36.1881204467109,52.6475603007157,NA,19.8870242851017,30.6350813329812
"291","CHL",2002,"LAM",12.4228982767769,341.179334095629,37.2576927109162,123.378259877562,21.7290208494823,14.5388527782949,35.5179643487684,50.6099097208141,NA,20.1588429293861,29.8678444585893
"292","CHL",2003,"LAM",12.0618515340801,369.564721462974,36.2751492146279,125.535216466967,21.9787425668218,14.721567127859,34.7035829515892,48.3200605371722,NA,19.60623137517,29.4969578886064
"293","CHL",2004,"LAM",12.719655256836,342.071806358737,37.0729506267349,119.75973308347,21.3266165313097,14.9144678074106,35.9110528169131,46.7611013103906,NA,18.6767006458367,29.2955873741263
"294","CHL",2005,"LAM",13.0500290395072,315.240174940524,38.7571238001857,118.319398243879,21.2854581364363,14.8168039718199,35.6763713376138,45.1654518867896,NA,17.8012357659657,28.5484987554045
"295","CHL",2006,"LAM",13.8549881194494,293.27028800058,40.6460118708164,123.665335084627,21.2576723931775,15.8162417104364,38.0024135019932,48.0930734744758,NA,19.0193798884983,29.9874412342102
"296","CHL",2007,"LAM",13.9422039486127,280.222620126011,40.1887790690792,82.6479360499431,21.2022659551827,15.891636412028,39.5757244970684,49.1321621138072,NA,19.1078670879575,30.0027114446955
"297","CHL",2008,"LAM",14.27384497706,242.100736219702,39.3110472848664,75.5580991283686,21.0098732709915,15.5366714607609,38.6157958241964,46.1637351510143,NA,18.9562729005923,28.9368664086279
"298","CHL",2009,"LAM",15.2152095779982,228.514288720769,41.289714450936,90.9477489343976,23.6213006869595,15.1409083983389,39.4021674954114,44.192139673043,NA,19.2096746838646,29.1009276642154
"299","CHL",2010,"LAM",16.5879000731353,159.096853109473,47.5457989760225,41.8102640447401,25.5235962501879,11.7997499437862,43.2183217842521,51.450258112138,NA,19.9238639491252,29.7070457953493
"300","CHL",2011,"LAM",16.1933972107232,163.827698510118,48.0787708022141,40.8907702191697,25.1240888966228,11.8224865705998,42.9013228686688,51.0893571461134,NA,20.9597985857957,30.3318778497303
"342","CHN",1990,"ASI",1.94031083699114,6.79719701794995,5.23612123486455,24.4141062412838,4.94903647937728,7.85609950539394,8.07254121126675,29.7693296759177,5.4773004269365,1.93949612340724,3.70817032511875
