"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"171","BRA",1996,"LAM",3.68969017810984,46.5046734282603,21.6259542916651,93.5737097135516,14.8866277235374,10.7725141297729,21.4494039744334,28.1713726270143,27.7109381436766,5.99028967268502,14.471326442418
"172","BRA",1997,"LAM",3.77110055981756,45.0878393683527,23.2494167964648,97.6054655630377,15.7034779076193,10.9013301041971,23.3809099440633,28.2119339612073,27.8881737510756,6.02906044119439,14.8754369640097
"173","BRA",1998,"LAM",4.01478351019617,39.8005639070019,23.3803789151472,101.961571941439,15.2183790518861,10.4867145557841,23.6116426067703,28.9541447853687,27.8425789330609,6.0187508060075,14.9950629543027
"174","BRA",1999,"LAM",3.72675703225265,56.2346958264785,22.7576158806488,117.308377661953,13.554347519841,10.3477356627524,22.817005130381,27.2563311880262,27.6234015390397,5.97158878307544,14.4995615602716
"175","BRA",2000,"LAM",4.28241793831297,90.8381114366974,24.4155439228458,133.881186288983,13.9328657204464,10.7098700859832,27.7879036353238,24.3653892269763,26.4427357654328,5.71583664084128,15.1195984728272
"176","BRA",2001,"LAM",4.92215797157114,87.176073510754,25.5146100030868,117.130719200833,13.8231089461015,10.8029538788377,28.3105222632188,25.5812919595199,27.7911120718581,5.48644405522637,15.6398970967024
"177","BRA",2002,"LAM",5.58975682420663,94.7982307224059,25.5975226938072,142.090660203206,13.7982513200866,10.3223425824416,27.3768766023526,26.9824486330561,27.9621051312737,5.43227734058978,15.9239431387398
"178","BRA",2003,"LAM",6.33034388459753,102.72128757127,27.312461596497,145.618191695803,13.117757309558,10.5163999108804,27.7886112905272,26.5619590082215,27.8478485506138,5.299067183905,16.2761212143008
"179","BRA",2004,"LAM",5.99067872656226,114.622221076799,29.0761532453045,171.592598672638,14.838215719718,11.7878385401111,29.8145793856279,24.2102877271567,27.3086413474022,5.4994733822122,16.8508568839824
"180","BRA",2005,"LAM",5.22460591086562,155.006607748487,26.9227905413354,178.436565277321,14.4874179668919,12.2096982690347,31.0494071209968,28.0593155483279,28.6958254878686,6.11573002440528,17.3890601767446
"181","BRA",2006,"LAM",5.51894024486716,197.717784004531,27.6280940895429,183.04361831447,14.7726552233736,12.8973321715954,30.9557492303941,29.0931208323751,29.3842484166916,6.12828892628042,18.1401973101091
"182","BRA",2007,"LAM",6.34509370695738,160.253836686328,28.2791608197137,184.581503733418,15.6996596702356,14.3572986140307,32.3787769946549,30.984417559138,32.5686867467364,6.06433835698311,19.4030727498919
"183","BRA",2008,"LAM",7.31907838400219,232.898098783731,28.1986698144603,162.308895759869,15.0760653542052,15.7982377322326,33.2178683151792,30.0374940726571,33.9469126956875,6.14487147112449,20.2629670592885
"184","BRA",2009,"LAM",7.24009441889979,133.283106482557,29.3287922398667,162.367445495296,16.4708228566634,15.7732679794936,34.7168534730527,30.6291764637384,35.2105810854363,6.37154809297375,20.469186171991
"185","BRA",2010,"LAM",7.35387922435044,224.570201789538,31.0236157044406,185.469770500248,17.3815226767805,16.0354085449817,33.1147527326462,29.425412937845,36.1697525433588,6.68246424762367,21.2184303986581
